1511436394000,53.327,52.08975601196289|5.106466770172119,88526.503,25,72.8
1511436395000,53.327,52.08975601196289|5.106466770172119,88526.512,27,72.8
1511436396000,53.327,52.08975601196289|5.106466770172119,88526.52,27,72.8
1511436397000,53.327,52.089881896972656|5.106673240661621,88526.527,28,72.8
1511436398000,53.455,52.089881896972656|5.106673240661621,88526.535,28,72.8
1511436399000,53.455,52.089969635009766|5.106818199157715,88526.543,28,72.8
1511436400000,53.455,52.09002685546875|5.106873512268066,88526.551,28,72.8
1511436401000,53.455,52.09002685546875|5.106873512268066,88526.559,29,72.8
1511436402000,53.455,52.090152740478516|5.106948375701904,88526.567,29,72.8
1511436403000,53.455,52.090152740478516|5.106948375701904,88526.575,30,72.8
1511436404000,53.455,52.090152740478516|5.106948375701904,88526.583,30,72.8
1511436405000,53.455,52.0903205871582|5.1069464683532715,88526.592,31,72.8
1511436406000,53.455,52.09037399291992|5.106916904449463,88526.6,31,72.8
1511436407000,53.455,52.09037399291992|5.106916904449463,88526.609,31,72.8
1511436408000,53.455,52.09048843383789|5.106806755065918,88526.615,32,72.8
1511436409000,53.623,52.09048843383789|5.106806755065918,88526.627,33,72.8
1511436410000,53.623,52.09048843383789|5.106806755065918,88526.636,34,72.8
1511436411000,53.623,52.090702056884766|5.106576442718506,88526.643,34,72.8
1511436412000,53.623,52.090702056884766|5.106576442718506,88526.654,32,72.8
1511436413000,53.623,52.090858459472656|5.1064133644104,88526.663,30,72.8
1511436414000,53.623,52.090858459472656|5.1064133644104,88526.67,28,72.8
1511436415000,53.623,52.09103012084961|5.106245040893555,88526.679,27,72.8
1511436416000,53.623,52.09110641479492|5.106176853179932,88526.686,27,72.8
1511436417000,53.623,52.09110641479492|5.106176853179932,88526.694,27,72.8
1511436418000,53.623,52.09110641479492|5.106176853179932,88526.701,27,72.8
1511436419000,53.623,52.0912971496582|5.106058120727539,88526.708,25,72.8
1511436420000,53.638,52.091365814208984|5.106038570404053,88526.715,24,72.8
1511436421000,53.638,52.091365814208984|5.106038570404053,88526.722,23,72.8
1511436422000,53.638,52.09149932861328|5.106029987335205,88526.726,23,72.8
1511436423000,53.638,52.0915641784668|5.106043338775635,88526.735,23,72.8
1511436424000,53.638,52.0915641784668|5.106043338775635,88526.741,24,72.8
1511436425000,53.638,52.0916748046875|5.1060967445373535,88526.747,25,72.8
1511436426000,53.638,52.091732025146484|5.10613489151001,88526.755,27,72.8
1511436427000,53.638,52.091732025146484|5.10613489151001,88526.763,29,72.8
1511436428000,53.638,52.09182357788086|5.1062397956848145,88526.77,30,72.8
1511436429000,53.638,52.09182357788086|5.1062397956848145,88526.78,32,72.8
1511436430000,53.638,52.091896057128906|5.106420040130615,88526.789,33,72.8
1511436431000,53.652,52.091896057128906|5.106420040130615,88526.798,35,72.8
1511436432000,53.652,52.091896057128906|5.106420040130615,88526.808,36,72.8
1511436433000,53.652,52.09199523925781|5.106761455535889,88526.818,38,72.8
1511436434000,53.652,52.09203338623047|5.106886863708496,88526.829,39,72.8
1511436435000,53.652,52.092071533203125|5.107015132904053,88526.84,40,72.8
1511436436000,53.652,52.092071533203125|5.107015132904053,88526.851,41,72.8
1511436437000,53.652,52.0921516418457|5.107281684875488,88526.862,43,72.8
1511436438000,53.652,52.0921516418457|5.107281684875488,88526.875,46,72.8
1511436439000,53.652,52.09223556518555|5.107560157775879,88526.888,45,72.8
1511436440000,53.652,52.092281341552734|5.107705116271973,88526.9,42,72.8
1511436441000,53.652,52.092281341552734|5.107705116271973,88526.911,38,72.8
1511436442000,53.741,52.092376708984375|5.10800313949585,88526.921,35,72.8
1511436443000,53.741,52.0924186706543|5.108145236968994,88526.931,32,72.8
1511436444000,53.741,52.0924186706543|5.108145236968994,88526.939,28,72.8
1511436445000,53.741,52.092464447021484|5.108431816101074,88526.944,26,72.8
1511436446000,53.741,52.09252166748047|5.1084980964660645,88526.953,25,72.8
1511436447000,53.741,52.09252166748047|5.1084980964660645,88526.96,25,72.8
1511436448000,53.741,52.09259033203125|5.1087164878845215,88526.966,25,72.8
1511436449000,53.741,52.09260177612305|5.108823299407959,88526.974,25,72.8
1511436450000,53.741,52.09260177612305|5.108823299407959,88526.981,24,72.8
1511436451000,53.741,52.09260940551758|5.109020233154297,88526.987,23,72.8
1511436452000,53.768,52.09259033203125|5.109105110168457,88526.994,21,72.8
1511436453000,53.768,52.09259033203125|5.109105110168457,88527,20,72.8
1511436454000,53.768,52.09253692626953|5.109260082244873,88527.005,21,72.8
1511436455000,53.768,52.09253692626953|5.109260082244873,88527.011,22,72.8
